signal_strength_dbm,throughput_mbps,latency_ms
-55.06,22.21,33.75
-57.65,24.52,39.63
-59.3,56.9,11.05
-61.59,19.62,21.71
-66.46,50.28,113.95
-57.77,27.5,17.71
-39.37,133.05,15.61
-75.62,8.14,51.52
-79.38,22.12,77.95
-70.24,15.09,68.09
-62.44,20.08,99.47
-51.51,25.02,92.94
-82.46,7.31,44.64
-71.6,28.2,18.27
-69.76,66.61,15.75
-91.11,3.49,54.92
-71.91,13.36,101.89
-62.01,20.71,150.09
-76.48,24.93,240.68
-77.52,32.06,30.44
-56.64,25.97,27.9
-63.98,64.21,5.27
-94.49,2.41,41.8
-45.74,48.54,13.29
-68.75,34.52,484.97
-81.17,15.07,29.55
-61.09,116.86,11.23
-68.26,18.0,27.43
-48.18,79.9,43.41
-65.67,23.18,21.49
-78.82,23.65,63.29
-51.92,23.76,54.59
-42.87,114.62,25.25
-49.26,22.57,60.32
-55.72,86.23,19.69
-47.91,111.45,18.1
-50.63,21.03,45.88
-88.85,11.62,48.44
-57.0,9.71,136.83
-77.15,41.35,22.5
-79.05,6.23,500.0
-65.87,28.85,20.4
-61.58,46.93,10.72
-33.7,39.27,31.92
-59.74,19.41,37.03
-77.34,30.6,30.02
-79.09,6.46,72.04
-90.53,4.28,88.08
-75.83,14.12,27.13
-34.32,35.62,48.68
-64.04,101.37,9.16
-70.43,18.77,17.22
-42.44,51.29,7.81
-95.0,6.67,34.82
-75.35,19.41,15.84
-68.21,49.54,53.11
-89.54,4.5,67.74
-57.32,23.89,44.38
-92.45,3.19,50.77
-74.15,27.64,190.15
-72.51,10.95,31.78
-76.09,28.6,44.41
-76.06,3.47,157.46
-95.0,0.5,213.25
-95.0,0.75,31.33
-88.44,6.32,500.0
-72.05,26.8,15.58
-82.08,15.53,160.27
-72.54,11.88,53.7
-72.24,12.58,99.18
-85.18,21.85,17.14
-20.0,71.7,12.78
-78.8,20.1,20.79
-71.39,29.9,12.15
-76.86,32.26,26.28
-47.7,30.14,26.62
-62.7,47.76,7.63
-83.92,10.23,19.14
-29.85,147.05,3.35
-89.79,7.92,108.66
-59.72,20.31,27.63
-68.94,24.48,41.36
-81.85,9.33,29.75
-63.87,112.66,4.56
-74.0,33.05,56.29
-85.03,14.87,59.05
-63.89,19.61,26.79
-95.0,6.64,41.83
-95.0,0.5,39.38
-76.27,26.7,15.27
-63.36,59.34,8.82
-57.86,15.79,59.82
-90.81,0.5,55.83
-69.44,39.88,128.81
-64.26,25.67,17.38
-95.0,13.96,32.0
-54.01,40.25,15.62
-79.46,9.79,26.26
-64.66,18.43,316.69
-42.21,46.61,15.68
-60.27,19.79,132.62
-65.01,62.06,24.6
-68.42,158.54,7.9
-74.87,26.18,42.88
-62.28,23.47,18.45
-69.83,55.88,14.33
-95.0,1.49,500.0
-60.81,10.17,38.83
-78.6,8.05,92.13
-87.42,11.75,28.32
-95.0,2.48,204.76
-58.58,21.47,500.0
-74.83,36.72,34.44
-68.88,19.98,24.91
-95.0,4.47,110.24
-79.41,14.73,26.34
-80.36,8.6,96.24
-51.34,94.44,5.91
-77.55,25.46,19.97
-76.04,12.14,70.45
-63.13,29.6,16.33
-54.38,24.96,54.09
-71.49,16.58,29.4
-86.91,8.81,145.97
-78.82,43.9,19.45
-72.62,10.81,131.89
-44.1,77.79,5.97
-72.82,45.61,13.89
-73.9,7.74,43.8
-56.99,86.98,13.99
-83.3,4.16,500.0
-43.81,34.29,24.28
-71.18,12.49,238.37
-71.6,15.36,239.54
-82.02,31.52,26.87
-85.29,9.8,35.96
-88.63,5.57,43.35
-89.29,6.93,40.88
-90.01,0.5,34.02
-37.25,37.84,29.29
-69.1,55.66,23.61
-74.44,9.59,134.57
-36.87,35.44,59.81
-74.83,7.7,39.92
-69.57,10.7,159.97
-87.84,1.91,27.87
-95.0,7.26,26.61
-63.35,42.23,7.11
-55.41,22.33,500.0
-57.43,63.87,5.94
-20.2,52.68,33.49
-46.7,57.47,500.0
-46.22,267.48,2.62
-62.81,38.91,191.38
-67.41,10.3,187.99
-84.76,2.61,114.62
-85.62,3.8,100.27
-81.03,21.33,118.15
-63.21,23.29,28.38
-72.83,9.04,30.72
-78.32,11.36,37.22
-66.1,26.3,13.06
-75.48,28.28,239.65
-47.69,155.49,9.37
-83.98,10.72,38.02
-68.56,35.49,245.41
-80.29,19.72,499.22
-69.6,20.99,24.27
-69.68,15.75,30.26
-90.6,0.5,64.1
-78.9,13.76,34.95
-71.79,73.4,14.1
-80.78,46.41,18.81
-88.17,3.24,30.0
-70.27,8.66,62.14
-83.03,0.56,327.13
-61.22,21.4,61.89
-59.57,19.56,67.9
-92.14,3.29,30.33
-46.65,66.98,58.22
-71.72,56.44,26.34
-33.3,113.36,52.66
-27.38,162.3,18.31
-80.74,17.07,37.05
-78.69,4.6,92.46
-77.13,30.65,60.14
-59.99,14.45,488.15
-79.53,4.4,491.75
-53.75,50.98,9.31
-67.45,9.78,500.0
-46.24,192.55,6.17
-84.99,6.33,31.56
-79.86,6.9,45.49
-64.65,47.31,12.23
-87.92,20.73,19.69
-80.37,4.3,73.34
-66.54,58.31,10.49
-75.83,23.8,329.77
-89.01,1.08,213.29
-52.91,56.23,5.25
-75.08,11.34,88.83
-73.66,6.02,500.0
-95.0,1.43,166.35
-20.0,75.51,15.09
-78.96,14.86,60.27
-85.95,13.57,40.7
-50.26,171.4,8.7
-75.21,9.9,35.95
-28.36,83.91,5.66
-70.16,10.74,132.86
-66.55,23.39,23.07
-82.02,11.47,98.67
-66.86,43.2,113.07
-63.26,27.38,23.52
-69.39,29.86,500.0
-61.7,20.94,20.45
-74.56,28.45,56.08
-83.17,8.72,31.13
-80.33,14.21,30.08
-53.52,23.83,29.4
-82.34,15.19,46.11
-55.31,35.39,19.11
-56.54,76.76,3.46
-68.3,33.62,331.46
-48.85,21.32,188.9
-55.38,27.94,42.15
-70.34,34.58,60.58
-53.16,76.41,38.94
-95.0,3.91,108.86
-71.05,49.1,21.98
-92.32,4.04,55.38
-43.77,56.02,6.74
-56.89,170.7,1.0
-85.89,25.77,14.45
-58.48,52.19,50.98
-83.65,2.46,72.38
-76.5,16.26,29.91
-86.91,7.36,18.29
-95.0,2.62,500.0
-70.41,28.51,10.57
-95.0,6.17,56.12
-85.57,10.36,52.46
-42.67,23.42,47.75
-95.0,1.47,100.62
-49.96,29.8,65.13
-54.69,24.89,25.21
-91.11,6.87,62.42
-60.76,27.95,17.21
-77.45,18.66,16.26
-63.51,20.05,17.19
-73.13,5.92,97.07
-67.13,13.46,148.97
-79.72,11.27,245.09
-80.44,10.03,256.46
-72.75,18.27,23.9
-55.15,20.14,150.22
-63.18,18.39,24.31
-89.2,11.03,51.34
-67.75,23.71,18.83
-60.73,22.39,25.87
-72.02,48.08,22.3
-71.47,33.26,78.21
-87.14,1.64,135.16
-69.3,39.63,33.63
-72.79,16.26,31.07
-85.66,13.27,31.0
-48.04,313.33,8.69
-87.05,5.88,27.7
-95.0,7.36,24.43
-54.59,31.43,27.08
-95.0,6.75,55.59
-83.59,7.76,23.29
-57.61,118.98,9.77
-89.44,7.99,45.59
-55.57,26.35,22.11
-85.04,8.6,69.79
-73.82,35.26,40.89
-69.04,60.51,21.76
-76.32,27.62,66.26
-69.83,8.55,102.79
-67.96,46.32,44.3
-77.43,6.81,171.51
-95.0,3.62,146.23
-72.5,10.82,161.25
-63.8,22.49,21.79
-82.17,6.8,78.2
-62.35,23.28,27.56
-62.55,20.39,61.63
-53.14,47.94,14.57
-78.22,24.65,16.18
-63.31,33.18,64.46
-68.31,47.34,44.87
-74.32,18.5,21.13
-69.35,41.22,27.09
-59.9,26.11,35.24
-33.48,48.14,22.88
-56.74,68.68,3.78
-61.83,21.22,25.93
-60.69,78.36,24.57
-65.14,27.08,39.64
-76.08,35.5,25.47
-70.12,49.69,21.94
-32.86,206.99,13.5
-72.2,18.51,19.67
-84.59,10.66,25.7
-83.96,0.5,54.57
-90.63,6.52,142.99
-67.79,20.58,12.91
-79.08,139.42,15.97
-47.49,183.24,8.15
-71.24,34.89,103.26
-67.19,13.0,487.7
-70.14,16.59,500.0
-53.81,41.34,12.72
-78.77,44.1,16.8
-93.12,8.35,86.18
-67.63,44.54,56.45
-59.18,46.87,5.36
-69.74,25.36,18.98
-44.16,22.13,30.72
-95.0,7.78,43.33
-44.28,50.75,15.02
-63.48,15.66,91.78
-68.39,10.86,38.89
-68.38,18.48,34.33
-41.16,61.16,13.62
-91.97,6.75,27.65
-55.55,38.57,21.77
-83.1,3.31,127.07
-45.44,29.96,105.84
-78.52,3.13,35.97
-64.92,14.46,235.36
-61.16,42.78,12.34
-64.19,21.38,26.61
-81.66,22.21,57.96
-60.54,18.59,52.19
-65.99,37.54,500.0
-84.94,15.11,44.68
-59.23,191.64,7.08
-57.31,71.13,4.29
-87.89,6.35,169.14
-61.46,15.36,484.6
-80.53,2.91,45.48
-77.98,9.84,29.77
-82.52,11.78,29.28
-90.29,0.5,56.64
-85.53,9.03,136.73
-68.31,15.01,31.89
-58.5,58.17,314.25
-75.08,18.6,20.12
-85.17,4.75,65.24
-67.86,18.85,32.97
-67.53,17.34,98.31
-64.67,17.2,47.77
-86.75,3.49,39.76
-72.87,10.47,89.52
-68.77,10.15,37.59
-82.56,10.49,500.0
-62.39,24.3,20.07
-79.04,58.15,14.78
-52.84,39.78,14.19
-77.63,55.62,15.53
-68.3,80.4,17.48
-59.38,92.71,2.64
-80.29,14.17,71.89
-62.35,13.68,315.02
-60.45,123.91,8.72
-88.51,7.23,32.42
-58.51,52.92,181.75
-65.82,27.89,19.58
-72.83,16.58,57.84
-84.15,14.66,197.74
-74.61,33.23,51.19
-75.44,9.32,31.57
-69.46,13.85,35.61
-39.1,50.79,15.31
-93.19,0.67,61.42
-95.0,3.86,58.67
-83.22,8.55,36.47
-63.37,55.88,235.84
-95.0,1.4,58.25
-56.16,46.94,98.22
-88.34,3.7,183.27
-62.8,38.97,7.51
-85.72,13.82,27.29
-70.79,21.02,16.37
-82.32,12.57,123.22
-38.29,24.33,321.67
-52.7,39.37,17.34
-78.26,10.31,22.4
-95.0,4.72,34.28
-63.82,47.36,322.04
-95.0,0.5,30.38
-61.15,30.59,20.7
-91.47,7.75,46.43
-58.41,20.27,80.31
-79.78,23.39,193.13
-67.7,21.22,500.0
-61.33,26.44,15.56
-67.57,52.79,39.09
-85.79,19.94,23.96
-70.15,23.54,23.62
-38.39,44.29,21.15
-53.72,23.56,45.74
-56.36,14.29,54.64
-79.06,7.57,500.0
-51.92,106.52,5.67
-72.78,9.1,84.84
-87.74,13.33,21.98
-95.0,3.69,218.68
-88.65,0.5,214.7
-63.29,16.78,188.51
-77.14,0.5,117.7
-87.18,42.21,18.21
-51.46,31.94,15.09
-65.95,99.51,6.41
-90.7,11.03,21.99
-95.0,4.96,261.06
-77.24,8.5,70.43
-57.75,41.17,10.13
-75.1,26.41,12.74
-56.13,28.23,24.1
-78.11,28.28,25.92
-81.83,11.23,29.68
-50.19,103.75,22.68
-77.54,2.42,58.92
-80.67,18.06,20.24
-65.35,25.17,17.35
-78.6,12.65,48.33
-60.5,50.78,42.66
-47.43,55.87,164.04
-70.02,11.82,31.64
-68.04,10.25,500.0
-72.31,25.76,500.0
-91.32,30.08,14.67
-61.76,32.14,15.37
-83.79,19.07,18.76
-68.99,47.12,27.12
-84.35,23.08,18.67
-88.24,10.42,28.23
-47.83,94.55,50.54
-73.49,67.15,16.51
-74.09,9.04,59.77
-65.1,17.46,110.18
-61.2,25.6,27.19
-69.44,91.18,10.05
-77.68,29.22,19.72
-74.4,15.73,16.67
-60.07,24.59,22.24
-81.5,10.8,23.59
-62.48,67.6,21.55
-77.63,22.95,17.88
-53.71,26.13,21.39
-42.04,26.46,152.95
-94.05,0.5,74.09
-64.35,45.7,46.16
-71.7,5.12,500.0
-54.39,91.48,1.0
-95.0,4.15,25.5
-74.88,38.42,24.49
-77.91,7.51,80.32
-47.15,102.32,29.38
-73.07,14.99,21.73
-71.13,5.69,104.94
-71.67,17.81,57.7
-76.07,15.29,15.7
-80.45,11.73,197.7
-63.76,45.59,482.41
-49.32,62.84,153.11
-60.19,20.09,51.83
-95.0,4.58,40.76
-87.12,11.04,37.15
-50.29,22.01,188.01
-92.55,3.62,39.74
-63.65,15.88,35.13
-86.13,19.51,24.55
-76.38,5.67,63.13
-50.98,97.17,20.88
-71.74,43.0,37.46
-83.52,8.64,28.15
-61.25,156.49,2.04
-76.66,21.75,55.14
-71.98,13.24,28.77
-80.02,20.13,57.98
-85.01,0.5,33.92
-65.59,11.8,65.39
-64.82,45.61,500.0
-59.92,24.39,21.19
-86.28,24.84,24.5
-81.9,62.07,17.98
-81.99,27.46,27.95
-84.52,7.5,72.24
-59.05,37.17,10.2
-77.37,11.52,57.55
-81.16,14.2,28.02
-73.25,9.9,30.03
-90.76,11.83,36.92
-56.29,33.39,18.79
-80.15,25.48,28.35
-75.8,8.99,500.0
-63.57,102.68,14.59
-54.08,26.69,35.35
-70.16,9.49,500.0
-95.0,2.82,81.93
-62.82,21.59,20.66
-54.3,36.4,13.35
-35.51,173.73,9.86
-40.66,105.6,8.12
-94.93,8.47,36.22
-75.04,5.88,500.0
-84.8,9.89,73.11
-82.45,32.48,25.62
-75.73,4.73,33.48
-70.01,12.27,56.36
-95.0,0.5,56.29
-57.47,12.65,48.15
-76.52,17.24,17.49
-72.61,28.4,73.26
-84.31,12.61,500.0
-74.36,17.38,24.69
-88.59,4.4,91.48
-75.3,34.13,55.48
-84.37,11.09,83.22
-32.21,66.21,8.72
-74.16,25.89,196.74
-64.73,46.54,5.0
-44.18,65.76,7.39
-44.7,63.72,7.61
-59.97,34.49,137.28
-82.87,13.45,39.87
-75.76,30.07,40.26
-81.81,33.31,29.08
-73.01,67.77,17.51
-79.53,14.22,24.95
-93.3,1.21,38.54
-72.28,63.08,16.47
-95.0,0.5,200.04
-63.55,57.7,29.05
-65.0,13.18,93.08
-74.77,35.89,74.49
-60.79,16.96,31.98
-69.76,24.93,15.91
-71.18,12.17,38.67
-61.89,17.18,484.48
-63.32,84.18,10.88
-80.45,24.58,26.55
-74.03,9.9,46.85
-67.98,50.17,10.96
-72.23,9.21,248.38
-87.81,8.93,500.0
-63.45,94.71,7.56
-89.26,19.94,29.29
-73.64,13.71,40.69
-55.54,22.0,500.0
-56.21,40.29,65.09
-60.08,32.92,13.6
-71.55,231.27,10.53
-84.72,7.48,26.43
-78.05,6.9,54.5
-88.6,4.59,244.93
-74.51,45.59,25.99
-87.1,1.04,263.28
-79.31,5.78,60.45
-74.81,32.74,43.27
-68.37,12.72,161.3
-89.84,9.86,47.36
-81.25,2.87,41.46
-84.44,10.59,30.69
-95.0,5.9,56.95
-66.06,23.42,14.27
-67.79,84.79,9.09
-78.6,7.65,121.45
-88.25,18.5,27.3
-59.79,18.42,48.96
-43.59,35.99,125.31
-83.42,7.11,58.98
-87.62,2.37,55.06
-95.0,4.1,32.83
-65.37,30.98,16.54
-79.52,6.93,40.99
-78.22,21.8,100.07
-72.89,23.79,16.6
-57.99,17.93,65.75
-69.34,112.32,7.93
-48.67,509.11,2.8
-68.21,24.75,15.63
-61.11,37.79,9.86
-80.2,12.58,23.14
-59.18,12.67,125.26
-72.89,17.57,22.8
-80.9,40.02,22.26
-84.28,9.13,78.22
-64.15,39.62,10.7
-75.58,33.09,27.04
-95.0,0.5,43.69
-89.37,8.97,103.17
-69.75,20.75,18.44
-72.76,19.49,18.62
-68.2,9.5,171.19
-67.61,13.79,153.78
-74.08,38.6,29.39
-70.38,44.27,8.66
-59.53,58.84,184.26
-87.79,6.02,214.02
-58.26,51.81,183.72
-57.71,89.43,17.68
-57.96,112.3,11.09
-77.94,15.49,25.6
-65.92,18.1,29.55
-72.54,40.44,32.62
-67.01,16.51,29.59
-67.37,62.16,21.5
-86.2,7.6,28.27
-59.92,51.1,489.77
-69.4,17.93,26.2
-59.87,31.48,25.54
-76.57,46.5,26.1
-90.33,7.81,498.01
-76.12,5.69,57.28
-77.14,12.31,340.58
-68.69,11.62,46.03
-80.16,3.82,53.47
-57.25,58.45,4.78
-79.6,137.43,14.44
-69.91,15.75,35.56
-58.61,105.56,5.97
-79.61,10.86,35.74
-89.0,0.5,44.12
-59.81,19.03,84.84
-45.41,54.28,11.53
-52.24,73.68,73.09
-71.61,22.16,14.92
-70.87,11.25,55.12
-69.57,13.55,48.26
-77.14,6.0,92.03
-65.9,13.96,154.67
-65.0,21.19,22.39
-68.38,39.65,238.61
-58.75,69.11,13.47
-32.68,35.6,500.0
-71.9,24.79,172.59
-54.12,25.36,233.73
-66.51,15.73,51.18
-82.17,2.9,162.81
-63.54,87.45,12.5
-86.52,34.17,15.05
-61.86,23.61,47.54
-62.79,19.41,28.29
-69.32,19.1,18.86
-65.07,37.94,241.56
-66.1,19.74,150.36
-40.98,34.35,27.85
-95.0,14.17,27.03
-70.35,39.19,51.08
-51.41,57.81,44.93
-47.05,42.64,17.51
-80.5,7.49,94.28
-68.81,11.4,72.37
-85.22,12.95,46.72
-53.14,81.85,26.54
-84.25,11.68,53.2
-27.58,106.95,500.0
-95.0,0.61,500.0
-72.32,107.39,10.81
-92.48,5.67,71.84
-61.51,49.98,125.21
-64.81,27.8,14.77
-87.95,29.81,16.66
-73.41,36.1,188.73
-73.13,11.84,94.41
-84.73,44.11,20.25
-90.78,3.51,34.55
-57.95,17.62,49.82
-81.04,34.93,16.79
-64.87,13.63,112.12
-74.3,17.6,29.7
-61.98,172.07,5.62
-66.98,24.9,21.92
-78.73,46.44,20.96
-44.96,60.34,108.83
-20.27,259.72,8.54
-45.25,129.73,12.69
-95.0,0.5,74.59
-88.71,2.3,500.0
-50.44,17.73,59.75
-66.44,9.39,199.7
-66.89,18.49,98.91
-93.06,0.5,40.04
-50.41,54.96,19.36
-73.47,8.55,159.5
-71.05,49.68,9.25
-62.71,41.06,321.98
-43.99,26.07,500.0
-72.54,17.78,18.75
-76.47,53.75,13.85
-35.09,36.94,33.55
-62.26,84.11,9.69
-66.77,22.05,20.56
-48.54,19.4,68.12
-42.15,95.37,28.57
-74.89,51.34,16.06
-82.55,19.26,36.47
-57.51,23.69,31.96
-65.08,54.51,47.28
-87.06,10.08,33.62
-78.65,7.43,37.83
-86.07,14.08,38.09
-95.0,0.5,115.0
-90.34,2.2,112.96
-70.1,15.91,188.66
-89.07,5.25,34.95
-62.58,171.89,2.78
-34.82,209.7,7.9
-90.77,2.6,62.57
-78.03,22.2,46.95
-84.48,3.83,31.95
-72.8,19.8,174.16
-88.31,0.5,123.56
-65.1,16.09,87.83
-40.1,45.09,14.77
-74.4,6.75,241.77
-68.21,21.19,31.87
-82.49,20.38,30.81
-50.73,144.29,8.86
-73.08,10.76,52.64
-62.67,15.28,188.77
-73.82,34.11,102.38
-86.89,13.35,41.55
-63.88,18.9,40.81
-61.44,63.16,48.76
-88.11,9.07,40.3
-51.16,34.01,20.05
-88.94,0.8,55.36
-57.64,60.16,181.61
-72.75,27.77,500.0
-73.2,12.8,60.43
-75.42,29.6,114.16
-77.28,20.06,19.19
-95.0,8.3,28.24
-95.0,5.03,35.68
-48.53,26.81,84.24
-57.26,78.82,19.46
-64.1,18.92,53.84
-81.9,17.68,47.31
-82.14,12.28,22.09
-77.45,7.46,136.93
-47.31,35.57,14.2
-78.4,8.28,45.1
-59.64,19.51,500.0
-54.47,71.48,7.45
