distance_m,num_walls,num_users,interference_level,frequency_band,signal_strength_dbm,throughput_mbps,latency_ms
19.36,0.0,44,medium,2.4GHz,-57.79,17.77,156.1
15.42,3.0,12,medium,5GHz,-72.1,59.39,19.62
31.7,2.0,43,low,5GHz,-76.79,21.2,134.7
18.41,1.0,33,low,2.4GHz,-57.08,24.45,40.59
4.84,6.0,21,medium,5GHz,-74.51,32.99,29.91
6.34,2.0,7,low,5GHz,-49.65,189.3,4.17
48.11,4.0,18,medium,2.4GHz,-81.56,6.11,30.3
45.47,4.0,37,low,2.4GHz,-80.47,7.55,72.77
35.14,2.0,11,medium,5GHz,-79.38,33.71,19.04
13.66,2.0,34,low,2.4GHz,-56.26,20.46,44.65
48.47,6.0,12,medium,2.4GHz,-89.99,6.12,33.04
39.05,5.0,5,low,5GHz,-92.85,4.01,21.99
35.99,3.0,31,medium,5GHz,-88.93,7.2,58.33
22.74,3.0,41,high,2.4GHz,-73.39,6.32,113.68
13.98,0.0,49,low,2.4GHz,-50.88,25.93,500.0
5.27,1.0,26,high,2.4GHz,-46.43,30.31,35.55
45.18,0.0,31,high,2.4GHz,-67.26,5.87,52.27
23.06,5.0,35,low,2.4GHz,-71.52,11.55,54.3
10.52,6.0,21,low,5GHz,-82.38,21.78,30.28
15.64,1.0,2,medium,5GHz,-60.85,214.5,6.79
29.17,1.0,13,high,2.4GHz,-67.12,19.8,28.46
9.25,2.0,19,low,5GHz,-58.66,88.87,12.13
42.9,5.0,33,high,2.4GHz,-87.97,0.5,73.19
38.05,2.0,16,low,2.4GHz,,19.26,16.39
36.11,0.0,11,low,5GHz,-64.31,89.68,13.9
21.89,4.0,46,high,2.4GHz,-75.41,7.91,256.88
31.55,1.0,5,low,2.4GHz,-64.73,46.54,5.0
29.41,4.0,40,medium,2.4GHz,-73.74,15.05,91.63
32.67,5.0,5,low,2.4GHz,-79.26,24.99,16.0
4.68,0.0,17,low,5GHz,-37.33,157.16,10.38
21.08,6.0,43,high,2.4GHz,-81.37,3.5,152.88
2.56,4.0,43,low,2.4GHz,-43.21,27.94,126.05
24.95,0.0,20,medium,5GHz,-62.49,64.17,23.82
16.83,1.0,1,high,2.4GHz,-60.67,80.32,20.44
7.65,1.0,48,medium,5GHz,-53.83,54.65,486.6
5.62,6.0,45,high,2.4GHz,-67.67,11.71,204.08
29.59,5.0,25,high,2.4GHz,-81.97,10.67,47.37
8.94,2.0,2,low,5GHz,-57.97,278.15,5.03
46.29,3.0,35,medium,5GHz,-84.24,7.23,67.91
29.26,2.0,40,low,2.4GHz,-65.87,15.4,89.26
17.67,2.0,42,medium,5GHz,-70.12,32.5,121.59
29.75,4.0,37,medium,2.4GHz,-77.31,9.28,76.99
1.63,1.0,44,low,2.4GHz,-31.25,41.2,151.22
47.95,5.0,26,medium,2.4GHz,-88.29,0.5,45.96
24.37,6.0,9,low,2.4GHz,-80.58,14.96,13.16
39.25,6.0,35,medium,2.4GHz,-87.0,8.57,72.51
4.6,1.0,11,low,5GHz,-41.75,180.99,8.26
24.59,2.0,32,low,2.4GHz,-63.7,16.54,42.73
24.79,1.0,8,medium,2.4GHz,-65.5,26.89,14.43
46.92,4.0,2,medium,5GHz,-95.0,8.28,29.5
28.8,2.0,23,high,2.4GHz,-72.02,15.13,44.26
23.94,2.0,30,medium,2.4GHz,-67.32,14.73,40.77
13.72,0.0,8,high,5GHz,-60.49,81.58,22.9
16.91,3.0,40,medium,2.4GHz,-70.98,7.42,93.8
26.27,3.0,33,high,2.4GHz,-76.35,12.77,66.53
22.23,3.0,41,low,5GHz,-78.61,16.3,104.56
1.57,2.0,19,medium,5GHz,-34.38,132.94,22.12
41.4,5.0,33,low,2.4GHz,-78.36,5.44,51.55
44.86,4.0,49,low,5GHz,-95.0,1.59,500.0
7.44,1.0,10,high,5GHz,-54.28,90.48,22.74
27.92,2.0,41,medium,2.4GHz,-66.0,16.21,103.38
5.87,4.0,32,medium,5GHz,-67.54,37.3,44.73
33.78,,37,medium,2.4GHz,-66.92,13.75,69.88
14.42,2.0,32,low,5GHz,-61.8,56.55,41.92
33.14,6.0,35,high,2.4GHz,-87.82,0.5,79.33
36.49,3.0,39,low,2.4GHz,-70.12,12.67,77.5
38.55,3.0,2,low,2.4GHz,-73.15,52.65,13.18
5.83,4.0,2,low,2.4GHz,-51.73,118.13,2.34
45.84,2.0,5,high,2.4GHz,-76.33,18.78,27.11
11.9,5.0,47,low,5GHz,-79.63,19.25,326.52
2.35,0.0,22,medium,2.4GHz,-33.39,44.88,20.22
27.97,3.0,50,low,2.4GHz,-70.72,10.41,500.0
18.86,4.0,46,low,5GHz,-80.22,15.83,245.31
41.57,1.0,18,low,5GHz,-74.44,43.07,22.73
40.51,5.0,5,low,2.4GHz,-80.17,18.95,14.48
16.2,0.0,43,medium,2.4GHz,-55.84,16.6,129.59
47.67,4.0,22,low,5GHz,,14.04,40.27
14.9,4.0,15,low,2.4GHz,-62.44,28.56,12.89
26.0,5.0,40,low,2.4GHz,-75.13,4.32,91.27
13.17,1.0,25,medium,5GHz,-57.02,71.45,25.49
46.83,1.0,16,high,2.4GHz,-71.08,15.4,34.47
8.65,4.0,20,low,5GHz,-69.56,56.9,18.65
2.72,6.0,47,low,2.4GHz,-51.78,23.93,313.23
22.04,5.0,16,low,5GHz,-87.58,12.81,27.49
49.62,1.0,47,high,2.4GHz,-71.77,6.53,336.07
44.64,2.0,30,high,5GHz,-87.9,5.56,63.93
37.56,,3,low,5GHz,-75.7,103.33,16.72
44.59,5.0,6,low,2.4GHz,-82.05,,19.91
44.73,3.0,31,low,2.4GHz,-76.75,4.72,42.59
26.18,3.0,7,low,2.4GHz,-70.41,28.51,10.57
16.14,0.0,8,low,5GHz,-55.99,149.25,4.31
38.71,4.0,24,low,5GHz,-90.67,3.4,38.15
33.25,3.0,23,low,5GHz,-82.76,17.87,33.39
19.0,0.0,48,low,2.4GHz,-54.92,23.74,480.01
5.18,1.0,45,low,2.4GHz,-42.2,25.36,182.49
37.47,5.0,47,low,2.4GHz,-81.27,2.5,330.89
13.49,5.0,4,low,2.4GHz,-69.11,46.52,9.84
46.87,3.0,41,high,2.4GHz,-79.24,2.38,119.37
12.43,5.0,47,low,2.4GHz,-64.66,15.42,321.17
6.58,5.0,31,low,2.4GHz,-55.98,18.07,38.24
41.64,4.0,50,high,2.4GHz,,5.82,500.0
8.09,1.0,41,low,2.4GHz,-45.73,32.36,93.09
9.37,,34,low,5GHz,-59.69,64.13,45.76
30.17,5.0,21,medium,5GHz,-93.29,0.5,43.4
43.79,2.0,18,low,2.4GHz,-71.09,23.66,19.51
10.22,4.0,20,medium,5GHz,-70.2,53.36,27.34
15.86,5.0,13,medium,2.4GHz,-73.53,21.65,25.25
38.98,3.0,29,medium,5GHz,-88.43,10.02,53.39
48.61,3.0,22,medium,5GHz,-89.76,7.36,36.18
25.29,1.0,15,low,2.4GHz,-65.22,26.21,14.78
7.62,3.0,9,low,2.4GHz,-54.16,55.09,8.71
1.19,0.0,26,low,5GHz,-24.3,158.9,25.31
11.87,0.0,2,low,5GHz,-53.12,313.62,6.41
7.03,3.0,19,medium,2.4GHz,-55.76,28.56,17.72
34.04,1.0,4,medium,5GHz,-77.22,67.75,18.43
6.53,2.0,17,low,2.4GHz,-48.49,41.09,13.85
25.56,2.0,34,high,5GHz,-82.8,13.4,73.08
34.87,3.0,32,low,5GHz,-83.0,14.95,55.07
29.27,4.0,2,high,5GHz,-89.85,18.12,32.56
10.39,3.0,36,low,5GHz,-63.69,46.86,58.43
40.3,5.0,16,medium,5GHz,-95.0,0.5,37.55
35.91,3.0,24,medium,2.4GHz,-76.65,9.09,35.41
37.08,6.0,34,medium,2.4GHz,-86.58,0.5,66.08
6.99,6.0,2,medium,2.4GHz,-67.58,54.88,13.62
6.63,2.0,9,medium,2.4GHz,-49.86,50.87,8.27
46.41,5.0,9,medium,2.4GHz,-84.48,6.65,26.84
20.18,3.0,17,high,5GHz,-80.68,23.3,40.25
15.4,6.0,1,low,2.4GHz,-73.19,73.33,12.71
24.68,5.0,2,medium,5GHz,-90.32,17.34,25.34
33.31,2.0,26,medium,5GHz,-80.83,23.89,42.09
47.8,2.0,6,low,5GHz,-80.16,53.8,18.39
14.68,6.0,22,low,2.4GHz,-71.84,17.41,25.9
46.28,3.0,12,low,5GHz,-84.7,25.88,23.62
1.73,4.0,50,low,2.4GHz,-41.15,26.68,500.0
27.98,4.0,7,medium,2.4GHz,-75.36,21.03,21.58
31.88,1.0,25,medium,5GHz,-70.82,38.09,32.63
5.74,1.0,24,low,2.4GHz,-46.3,40.41,19.72
7.45,6.0,37,low,5GHz,-75.47,26.21,67.41
21.25,1.0,7,low,5GHz,-65.49,115.04,8.59
48.33,6.0,49,high,5GHz,-95.0,4.61,500.0
30.0,2.0,16,medium,2.4GHz,-67.66,19.44,22.28
46.68,5.0,2,low,5GHz,-95.0,14.31,23.93
40.32,4.0,37,low,5GHz,-90.31,3.93,79.59
23.64,0.0,28,high,2.4GHz,-65.19,9.47,44.74
39.35,1.0,33,medium,2.4GHz,-72.54,11.88,53.7
1.38,6.0,46,low,2.4GHz,-44.59,28.3,237.18
5.9,1.0,20,medium,5GHz,-47.22,104.08,19.01
41.56,1.0,46,low,5GHz,-74.65,25.65,242.65
39.94,1.0,47,high,2.4GHz,-76.3,8.5,338.2
12.02,4.0,28,high,2.4GHz,-69.5,10.98,48.91
26.77,5.0,40,low,5GHz,-91.18,7.69,99.46
30.5,6.0,2,medium,2.4GHz,-84.18,15.17,23.59
43.45,,31,medium,2.4GHz,-89.67,0.99,57.18
30.35,6.0,5,low,5GHz,-95.0,6.77,25.49
20.92,6.0,22,high,5GHz,-95.0,5.56,53.09
19.02,3.0,38,low,2.4GHz,-60.92,21.68,71.23
21.58,5.0,4,low,5GHz,-83.84,39.55,15.84
32.77,4.0,21,high,2.4GHz,-82.24,2.58,42.55
43.44,0.0,21,medium,2.4GHz,-66.52,18.3,26.71
22.97,0.0,12,low,5GHz,-61.75,98.72,11.5
12.77,0.0,28,medium,2.4GHz,-52.58,30.83,34.68
12.21,2.0,41,medium,5GHz,-64.38,39.96,100.11
37.43,3.0,50,medium,2.4GHz,,4.25,500.0
40.92,4.0,46,low,2.4GHz,-75.56,7.61,242.33
5.71,3.0,48,medium,5GHz,-61.14,45.6,485.24
3.79,2.0,11,medium,2.4GHz,-45.01,48.43,13.51
29.92,5.0,6,medium,2.4GHz,-84.7,14.28,24.27
7.74,6.0,10,low,2.4GHz,-64.67,30.13,10.15
41.32,1.0,49,high,5GHz,-83.79,7.43,500.0
15.86,1.0,11,low,5GHz,-63.44,106.89,10.88
7.62,6.0,38,medium,5GHz,-78.08,22.49,79.0
46.09,6.0,21,low,2.4GHz,-83.35,4.81,29.43
8.69,2.0,35,high,2.4GHz,-59.77,9.24,62.51
14.59,3.0,38,high,2.4GHz,-63.9,9.0,87.61
8.1,4.0,46,high,2.4GHz,-62.49,11.29,248.8
6.22,4.0,5,low,2.4GHz,-54.47,71.48,7.45
1.55,6.0,17,medium,5GHz,-60.78,71.2,21.04
3.24,0.0,6,low,5GHz,-29.71,301.11,4.14
9.14,3.0,20,low,2.4GHz,-54.99,33.11,17.28
3.14,1.0,19,high,5GHz,-45.4,87.53,30.85
29.76,,44,medium,5GHz,-95.0,5.3,171.74
34.2,4.0,36,medium,5GHz,-92.81,0.5,75.62
19.98,5.0,6,low,5GHz,-85.81,27.82,20.67
16.24,6.0,23,medium,2.4GHz,-76.51,11.69,33.99
25.47,5.0,36,low,5GHz,-86.5,10.31,64.32
43.81,5.0,38,low,5GHz,-95.0,0.5,84.52
42.63,5.0,41,high,2.4GHz,-86.29,5.1,122.49
2.65,4.0,12,medium,2.4GHz,-45.74,48.54,13.29
9.48,2.0,45,low,2.4GHz,-56.01,25.92,179.81
12.22,2.0,46,low,2.4GHz,-55.13,22.56,233.09
12.84,2.0,11,low,2.4GHz,-56.97,41.34,9.12
28.78,4.0,34,low,2.4GHz,,12.81,53.52
21.1,5.0,34,medium,2.4GHz,-80.05,4.07,60.48
2.94,2.0,44,low,2.4GHz,-38.73,35.73,147.75
18.99,4.0,5,low,5GHz,-81.26,56.45,17.04
26.43,2.0,12,low,2.4GHz,-66.16,26.36,10.04
5.53,4.0,44,medium,2.4GHz,-53.66,17.54,158.24
41.76,5.0,2,low,2.4GHz,-81.32,32.74,18.6
3.07,2.0,25,low,2.4GHz,-39.67,45.61,17.69
46.28,2.0,15,high,2.4GHz,-73.46,12.0,37.97
5.41,1.0,32,medium,5GHz,-48.01,73.57,43.63
42.26,3.0,24,low,5GHz,-87.12,11.04,37.15
45.18,3.0,43,high,2.4GHz,-78.05,4.32,150.83
48.99,1.0,4,medium,5GHz,-78.84,58.69,22.1
40.2,6.0,26,medium,2.4GHz,-87.74,3.53,44.56
39.08,6.0,26,low,2.4GHz,-85.78,0.5,37.9
32.3,2.0,26,low,2.4GHz,-68.32,18.6,28.84
39.06,6.0,4,low,2.4GHz,-82.08,19.21,16.66
7.16,1.0,24,low,5GHz,-50.98,97.17,20.88
27.04,2.0,45,low,2.4GHz,-65.33,19.42,186.8
25.95,0.0,31,low,2.4GHz,-59.86,20.79,31.18
42.95,4.0,6,low,5GHz,-88.41,21.06,22.65
23.41,3.0,36,low,2.4GHz,-70.23,18.17,59.85
19.56,1.0,47,low,5GHz,-65.79,45.61,320.75
32.16,2.0,41,low,5GHz,-77.55,20.47,104.16
13.69,6.0,5,medium,2.4GHz,-76.81,27.2,15.18
7.42,4.0,2,high,2.4GHz,-61.85,55.15,20.12
24.15,1.0,9,high,2.4GHz,-64.88,26.06,24.22
21.14,0.0,18,low,2.4GHz,-54.48,36.51,10.54
12.01,0.0,47,low,5GHz,-50.17,75.47,314.65
18.69,1.0,22,low,2.4GHz,-60.81,29.43,16.86
18.64,5.0,49,medium,2.4GHz,-73.68,7.64,500.0
16.71,0.0,5,low,5GHz,-53.38,201.62,7.78
19.28,1.0,39,high,5GHz,-69.71,27.83,94.49
34.44,,38,high,2.4GHz,-64.75,10.29,85.77
15.2,4.0,48,low,2.4GHz,-66.22,17.59,484.5
47.47,5.0,27,low,2.4GHz,-83.01,10.82,41.37
45.86,3.0,31,medium,2.4GHz,-80.18,7.97,51.46
24.31,6.0,1,medium,2.4GHz,-81.77,31.12,16.89
16.75,4.0,45,medium,2.4GHz,-66.88,15.2,191.56
27.0,5.0,32,low,2.4GHz,-77.42,13.45,48.91
42.5,2.0,36,low,5GHz,-76.32,27.62,66.26
32.8,6.0,17,medium,2.4GHz,-84.66,3.17,31.45
40.32,4.0,4,low,5GHz,-87.68,23.58,18.02
26.87,0.0,37,medium,2.4GHz,-60.97,14.65,66.46
31.83,0.0,37,low,2.4GHz,-65.2,18.07,62.93
14.76,6.0,9,low,5GHz,-88.87,17.76,21.25
36.88,1.0,42,low,5GHz,,26.52,116.45
10.52,3.0,1,medium,2.4GHz,-61.87,104.82,11.41
34.89,5.0,33,low,5GHz,-95.0,5.23,60.53
43.11,5.0,5,low,5GHz,-95.0,11.78,30.28
7.04,0.0,38,low,5GHz,-42.9,93.35,63.29
30.91,4.0,23,high,2.4GHz,-74.38,13.97,43.65
5.21,6.0,17,low,2.4GHz,-59.94,31.85,14.47
36.42,2.0,38,high,5GHz,-84.06,8.04,91.13
4.68,3.0,41,high,2.4GHz,-58.95,11.16,108.95
46.83,1.0,31,low,2.4GHz,-64.64,19.11,36.55
7.3,5.0,37,high,5GHz,-75.4,16.38,81.34
47.96,0.0,1,low,2.4GHz,-66.3,100.78,6.38
40.14,3.0,42,medium,5GHz,-86.6,6.21,126.14
29.89,2.0,30,low,2.4GHz,-67.78,12.0,43.08
39.24,4.0,8,medium,5GHz,-94.75,6.05,30.24
39.86,3.0,25,medium,2.4GHz,-76.91,10.79,39.17
47.33,6.0,32,low,2.4GHz,-84.51,3.88,51.06
13.04,6.0,40,low,5GHz,-84.96,13.64,96.71
29.71,1.0,26,low,5GHz,-70.07,49.81,27.59
5.2,0.0,13,low,2.4GHz,-38.04,57.79,13.59
31.0,3.0,13,medium,5GHz,-84.27,20.74,29.4
8.98,4.0,36,medium,2.4GHz,-59.65,19.33,60.35
28.47,5.0,44,low,2.4GHz,-78.86,6.54,159.48
28.84,3.0,32,low,5GHz,-80.94,15.59,50.39
23.57,4.0,40,high,5GHz,-86.73,15.77,115.73
26.37,0.0,32,low,2.4GHz,-56.93,23.68,38.48
38.31,5.0,25,medium,5GHz,-95.0,0.91,47.76
40.06,2.0,21,low,5GHz,-81.04,26.37,26.83
24.86,2.0,25,medium,5GHz,-74.03,32.61,38.09
30.18,2.0,1,medium,5GHz,-74.88,157.94,16.97
46.6,0.0,29,low,2.4GHz,-63.24,24.7,34.45
6.43,3.0,10,medium,5GHz,-64.12,81.6,12.87
6.3,2.0,46,low,5GHz,-54.92,61.32,230.3
4.84,1.0,43,low,5GHz,-46.59,79.87,124.5
33.06,1.0,25,medium,2.4GHz,-64.09,19.95,32.06
21.22,0.0,31,medium,5GHz,-61.98,57.05,42.56
38.83,6.0,2,medium,5GHz,-95.0,5.43,28.57
33.73,2.0,29,medium,2.4GHz,-70.11,13.45,39.04
17.02,6.0,43,low,2.4GHz,-73.29,5.74,130.87
44.97,5.0,27,low,5GHz,-95.0,0.5,46.09
38.25,3.0,44,low,5GHz,-83.58,13.11,157.76
13.89,5.0,4,low,5GHz,-80.87,60.29,13.92
18.53,1.0,49,low,5GHz,-59.79,46.51,500.0
16.06,1.0,18,high,2.4GHz,-61.39,14.79,33.06
8.3,6.0,2,low,5GHz,-78.61,103.94,13.52
7.82,4.0,31,low,2.4GHz,-59.37,25.68,37.39
46.84,4.0,31,medium,2.4GHz,-82.74,3.26,55.57
22.18,6.0,7,medium,5GHz,-94.55,3.5,28.14
19.47,0.0,18,medium,2.4GHz,-59.04,24.45,22.75
36.62,1.0,47,medium,2.4GHz,-67.45,15.83,327.3
27.87,6.0,10,low,2.4GHz,-80.5,15.58,19.98
46.84,0.0,4,low,5GHz,-69.23,133.36,13.49
39.12,3.0,42,medium,2.4GHz,-79.81,9.78,126.31
24.23,0.0,34,high,5GHz,-63.81,35.82,64.1
19.13,2.0,25,high,2.4GHz,-70.31,10.27,40.39
49.34,1.0,16,high,2.4GHz,-71.03,13.66,35.32
36.03,1.0,44,low,2.4GHz,-65.38,15.72,153.57
47.58,5.0,44,low,5GHz,-95.0,4.13,169.3
6.36,1.0,1,medium,2.4GHz,-47.69,155.49,9.37
42.6,5.0,42,medium,2.4GHz,-83.73,7.37,125.42
32.04,6.0,24,low,2.4GHz,-83.56,4.06,36.65
6.54,3.0,17,medium,5GHz,-60.74,75.83,18.23
29.62,3.0,18,high,2.4GHz,-74.74,8.72,38.97
34.46,2.0,24,low,5GHz,-76.34,37.89,27.71
1.11,4.0,29,low,2.4GHz,-32.22,39.95,30.7
22.99,5.0,48,low,5GHz,-90.87,6.62,495.34
41.36,6.0,2,low,2.4GHz,-84.48,16.91,20.71
15.12,1.0,31,medium,5GHz,-65.62,45.89,43.84
23.2,4.0,4,medium,2.4GHz,-70.93,35.3,15.32
22.39,0.0,1,low,5GHz,-58.74,384.48,4.51
15.45,3.0,16,high,5GHz,-77.41,24.33,36.14
45.96,0.0,39,low,2.4GHz,-63.11,19.25,74.44
39.17,3.0,18,medium,5GHz,-85.88,13.02,33.16
5.97,5.0,19,medium,5GHz,-74.71,38.14,26.72
49.85,5.0,46,high,2.4GHz,-87.42,4.77,262.26
44.02,5.0,14,low,2.4GHz,-83.59,7.76,23.29
14.55,4.0,39,medium,2.4GHz,-67.48,16.03,82.38
41.93,4.0,42,medium,2.4GHz,-78.33,3.73,125.77
5.77,0.0,33,high,5GHz,-46.65,66.98,58.22
49.96,5.0,49,medium,5GHz,-95.0,0.5,500.0
33.45,4.0,50,high,2.4GHz,-77.72,2.69,500.0
32.68,1.0,4,low,5GHz,-70.6,123.61,14.02
4.98,4.0,9,low,2.4GHz,-53.33,54.42,12.25
44.9,2.0,20,low,5GHz,-84.04,20.49,27.88
1.94,3.0,34,low,2.4GHz,-38.19,37.96,46.68
12.42,5.0,14,medium,5GHz,-80.51,25.59,27.98
7.58,2.0,32,low,5GHz,-53.16,76.41,38.94
38.95,6.0,45,low,2.4GHz,-87.07,4.68,197.25
10.31,2.0,1,medium,2.4GHz,-55.86,126.48,9.88
45.58,3.0,44,low,2.4GHz,-73.91,,162.06
32.99,0.0,25,low,2.4GHz,-61.84,23.54,27.76
2.29,0.0,46,medium,5GHz,-27.6,101.88,240.14
0.77,1.0,35,medium,5GHz,-22.92,120.78,54.12
3.06,6.0,3,low,5GHz,-61.87,201.47,1.0
30.49,1.0,46,medium,5GHz,-72.12,28.87,244.9
40.17,2.0,3,medium,2.4GHz,-71.17,45.73,15.13
12.31,5.0,13,low,5GHz,-80.2,32.76,25.12
42.55,2.0,28,medium,2.4GHz,-76.45,7.22,43.39
3.33,5.0,46,low,5GHz,-61.44,52.59,233.12
40.15,0.0,9,medium,5GHz,-69.42,72.13,18.31
46.43,0.0,27,medium,5GHz,-73.82,35.26,40.89
38.72,0.0,6,low,2.4GHz,-63.43,46.79,8.34
35.06,0.0,17,low,5GHz,-66.27,73.53,17.22
41.98,4.0,14,low,2.4GHz,-80.86,14.59,25.09
2.49,0.0,22,high,2.4GHz,-36.65,31.29,29.54
10.49,4.0,36,medium,5GHz,-73.64,33.97,67.77
6.68,4.0,37,medium,2.4GHz,-59.73,18.0,64.06
25.47,1.0,34,low,2.4GHz,-58.98,24.79,48.25
37.39,0.0,2,medium,5GHz,-69.27,154.21,14.19
31.69,1.0,40,medium,2.4GHz,-70.69,7.95,92.74
42.63,1.0,33,low,2.4GHz,-68.53,15.13,47.9
8.18,3.0,4,low,2.4GHz,-56.54,76.76,3.46
36.86,6.0,48,low,2.4GHz,-85.01,0.5,500.0
10.06,3.0,39,low,2.4GHz,-54.49,28.05,74.63
